"identical alleles","total genome-wide SNVs","strain1","strain2"
176188,1569703,"ECA2087","NIC1475"
169982,1573380,"ECA2087","NIC1476"
177297,1579589,"ECA2087","NIC1477"
171283,1568702,"ECA2087","NIC1478"
185655,1570947,"ECA2087","NIC1509"
169412,1564980,"ECA2087","NIC1514"
289801,1504246,"ECA2087","NIC1526"
289725,1504961,"ECA2087","NIC1531"
283198,1476146,"ECA2087","NIC1534"
192480,1538791,"ECA2087","NIC1541"
190937,1532125,"ECA2087","NIC1542"
192716,1529499,"ECA2087","NIC1543"
189665,1524877,"ECA2087","NIC1544"
188974,1521775,"ECA2087","NIC1545"
189081,1522960,"ECA2087","NIC1546"
195528,1543097,"ECA2087","NIC1547"
193491,1542327,"ECA2087","NIC1548"
193450,1542236,"ECA2087","NIC1549"
190101,1528339,"ECA2087","NIC1550"
192686,1540896,"ECA2087","NIC1551"
187593,1508334,"ECA2087","NIC1553"
195957,1543676,"ECA2087","NIC1555"
198321,1542766,"ECA2087","NIC1556"
194205,1543569,"ECA2087","NIC1557"
192973,1540024,"ECA2087","NIC1558"
194333,1540204,"ECA2087","NIC1559"
193121,1515173,"ECA2087","NIC1560"
185095,1497941,"ECA2087","NIC1561"
156802,1534353,"ECA2087","NIC1563"
188908,1521264,"ECA2087","NIC1564"
186612,1515304,"ECA2087","NIC1565"
190783,1535483,"ECA2087","NIC1583"
188974,1527130,"ECA2087","NIC1584"
188219,1522157,"ECA2087","NIC1585"
190827,1535179,"ECA2087","NIC1586"
189099,1527472,"ECA2087","NIC1587"
189355,1527168,"ECA2087","NIC1588"
202448,1525769,"ECA2087","NIC1592"
203243,1531499,"ECA2087","NIC1594"
190410,1533624,"ECA2087","NIC1596"
190895,1536153,"ECA2087","NIC1603"
194138,1543587,"ECA2087","NIC1644"
191757,1536035,"ECA2087","NIC1646"
190988,1530034,"ECA2087","NIC1647"
193488,1541673,"ECA2087","NIC1648"
193484,1542003,"ECA2087","NIC1649"
189680,1525654,"ECA2087","NIC1650"
195449,1534245,"ECA2087","NIC1651"
195564,1542495,"ECA2087","NIC1653"
195698,1539951,"ECA2087","NIC1656"
193826,1535076,"ECA2087","NIC1657"
190012,1531730,"ECA2087","NIC1658"
426091,1485730,"ECA2087","NIC1679"
197601,1539770,"ECA2087","NIC1694"
197285,1549468,"ECA2087","NIC1837"
198538,1558019,"ECA2087","NIC1846"
198195,1555922,"ECA2087","NIC1848"
189922,1544762,"ECA2087","NIC1851"
170155,1540055,"ECA2087","NIC1855"
175414,1556529,"ECA2087","NIC1856"
194957,1551825,"ECA2087","NIC1862"
202259,1552105,"ECA2087","NIC1877"
202154,1552390,"ECA2087","NIC1878"
195190,1551862,"ECA2087","NIC1879"
196949,1539218,"ECA2087","NIC1881"
162292,1542348,"ECA2087","NIC1886"
197160,1537461,"ECA2087","NIC1911"
195217,1550195,"ECA2087","NIC1912"
189852,1544869,"ECA2087","NIC1913"
186591,1547524,"ECA2087","NIC1914"
154571,1517305,"ECA2087","NIC1915"
155919,1527785,"ECA2087","NIC1916"
161005,1533735,"ECA2087","NIC1917"
156135,1528106,"ECA2087","NIC1918"
155535,1522610,"ECA2087","NIC1919"
132172,1537777,"ECA2087","NIC192"
181707,1531004,"ECA2087","NIC1927"
162258,1542977,"ECA2087","NIC1928"
189118,1537577,"ECA2087","NIC1929"
193962,1566692,"ECA2087","NIC193"
188007,1532659,"ECA2087","NIC1930"
186864,1513246,"ECA2087","NIC1938"
190557,1539742,"ECA2087","NIC1939"
186346,1539676,"ECA2087","NIC1940"
187236,1546766,"ECA2087","NIC1941"
179059,1543753,"ECA2087","NIC1950"
200841,1546187,"ECA2087","NIC1960"
200554,1543557,"ECA2087","NIC1961"
175113,1532404,"ECA2087","NIC1962"
203461,1540830,"ECA2087","NIC1976"
176877,1564073,"ECA2087","NIC203"
186525,1572513,"ECA2087","NIC2355"
196622,1571703,"ECA2087","NIC2357"
189954,1566514,"ECA2087","NIC2360"
190398,1564548,"ECA2087","NIC2361"
192024,1564935,"ECA2087","NIC2362"
190384,1569123,"ECA2087","NIC2363"
196618,1561036,"ECA2087","NIC2364"
193290,1566927,"ECA2087","NIC2365"
193461,1570358,"ECA2087","NIC2366"
197491,1566165,"ECA2087","NIC2367"
196711,1571560,"ECA2087","NIC2368"
193218,1564274,"ECA2087","NIC2370"
193981,1569749,"ECA2087","NIC2371"
187552,1571140,"ECA2087","NIC2373"
192810,1565415,"ECA2087","NIC2375"
197545,1561901,"ECA2087","NIC245"
197811,1562312,"ECA2087","NIC247"
194164,1567519,"ECA2087","NIC249"
179566,1568600,"ECA2087","NIC280"
168697,1570691,"ECA2087","NIC284"
167782,1567007,"ECA2087","NIC286"
169387,1570959,"ECA2087","NIC289"
169805,1567422,"ECA2087","NIC291"
168914,1567330,"ECA2087","NIC294"
166056,1571171,"ECA2087","NIC300"
176345,1570429,"ECA2087","NIC311"
188217,1573238,"ECA2087","NIC312"
174633,1578291,"ECA2087","NIC314"
183137,1567901,"ECA2087","NIC321"
181365,1565314,"ECA2087","NIC322"
183220,1567568,"ECA2087","NIC324"
182782,1562977,"ECA2087","NIC339"
182415,1568932,"ECA2087","NIC344"
178794,1563372,"ECA2087","NIC350"
182830,1578256,"ECA2087","NIC354"
188698,1578657,"ECA2087","NIC359"
175144,1562452,"ECA2087","NIC363"
172850,1568060,"ECA2087","NIC365"
180717,1572613,"ECA2087","NIC372"
191688,1565139,"ECA2087","NIC374"
181562,1562448,"ECA2087","NIC375"
179802,1550026,"ECA2087","NIC378"
190901,1562128,"ECA2087","NIC380"
181339,1554297,"ECA2087","NIC382"
183181,1570223,"ECA2087","NIC383"
179009,1559043,"ECA2087","NIC384"
192358,1571485,"ECA2087","NIC387"
181578,1561401,"ECA2087","NIC389"
192166,1570730,"ECA2087","NIC390"
171915,1565934,"ECA2087","NIC391"
193286,1572707,"ECA2087","NIC393"
183841,1572222,"ECA2087","NIC396"
174852,1570440,"ECA2087","NIC403"
174996,1570593,"ECA2087","NIC404"
174694,1569271,"ECA2087","NIC405"
174963,1570588,"ECA2087","NIC407"
179721,1562721,"ECA2087","NIC408"
174929,1570621,"ECA2087","NIC409"
186735,1568698,"ECA2087","NIC413"
183294,1570749,"ECA2087","NIC416"
167947,1568107,"ECA2087","NIC417"
178245,1569338,"ECA2087","NIC420"
195563,1573416,"ECA2087","NIC422"
179049,1570414,"ECA2087","NIC424"
174335,1565381,"ECA2087","NIC425"
169271,1536063,"ECA2087","NIC426"
173624,1554187,"ECA2087","NIC434"
174250,1561772,"ECA2087","NIC436"
164905,1559988,"ECA2087","NIC441"
183325,1555748,"ECA2087","NIC443"
181995,1571299,"ECA2087","NIC444"
168235,1561711,"ECA2087","NIC445"
177298,1565681,"ECA2087","NIC450"
175962,1577514,"ECA2087","NIC454"
180159,1569943,"ECA2087","NIC458"
168984,1567861,"ECA2087","NIC459"
174161,1563754,"ECA2087","NIC461"
171117,1570921,"ECA2087","NIC468"
189889,1576417,"ECA2087","NIC469"
170256,1564131,"ECA2087","NIC472"
182776,1578042,"ECA2087","NIC473"
166960,1562212,"ECA2087","NIC475"
177869,1568320,"ECA2087","NIC478"
167534,1572586,"ECA2087","NIC479"
176879,1573326,"ECA2087","NIC489"
167091,1551354,"ECA2087","NIC491"
178773,1562226,"ECA2087","NIC492"
178874,1577806,"ECA2087","NIC496"
191630,1567593,"ECA2087","NIC51"
191825,1535832,"ECA2087","NIC517"
185232,1566272,"ECA2087","NIC53"
193489,1542709,"ECA2087","NIC530"
195562,1561238,"ECA2087","NIC533"
199034,1557407,"ECA2087","NIC535"
198532,1556077,"ECA2087","NIC536"
197749,1554388,"ECA2087","NIC540"
198108,1558749,"ECA2087","NIC547"
185012,1565020,"ECA2087","NIC55"
198852,1548143,"ECA2087","NIC550"
199568,1551802,"ECA2087","NIC551"
180096,1571227,"ECA2087","NIC56"
197459,1555496,"ECA2087","NIC563"
156484,1531446,"ECA2087","NIC567"
198150,1558630,"ECA2087","NIC568"
192735,1567909,"ECA2087","NIC57"
160681,1553661,"ECA2087","NIC570"
160307,1545746,"ECA2087","NIC571"
158987,1538521,"ECA2087","NIC572"
160706,1546630,"ECA2087","NIC573"
197016,1551600,"ECA2087","NIC575"
198599,1558335,"ECA2087","NIC577"
197290,1552593,"ECA2087","NIC579"
178724,1581812,"ECA2087","NIC58"
198067,1558899,"ECA2087","NIC580"
194193,1525925,"ECA2087","NIC581"
158093,1539427,"ECA2087","NIC584"
198508,1558908,"ECA2087","NIC585"
160712,1539339,"ECA2087","NIC586"
198159,1557562,"ECA2087","NIC587"
198354,1559597,"ECA2087","NIC588"
198260,1559564,"ECA2087","NIC589"
202806,1559590,"ECA2087","NIC591"
160550,1545756,"ECA2087","NIC592"
198261,1559594,"ECA2087","NIC594"
197411,1551246,"ECA2087","NIC598"
195658,1534109,"ECA2087","NIC746"
158035,1539920,"ECA2087","NIC747"
202020,1554283,"ECA2087","NIC748"
201163,1545819,"ECA2087","NIC749"
196673,1548806,"ECA2087","NIC750"
199220,1560396,"ECA2087","NIC751"
182092,1549506,"ECA2087","NIC752"
182440,1552828,"ECA2087","NIC753"
158851,1544476,"ECA2087","NIC761"
199066,1559069,"ECA2087","NIC763"
204988,1549981,"ECA2087","NIC773"
198534,1560944,"ECA2087","NIC775"
181948,1576692,"ECA2087","NIC85"
188945,1535203,"ECA2087","NIC894"
188717,1533310,"ECA2087","NIC895"
190824,1537737,"ECA2087","NIC898"
191302,1565167,"ECA2087","NIC90"
169732,1565974,"ECA2087","NIC903"
176765,1566971,"ECA2087","NIC904"
188730,1566950,"ECA2087","NIC905"
184292,1574266,"ECA2087","NIC907"
177052,1572785,"ECA2087","NIC908"
193708,1559403,"ECA2087","NIC909"
171859,1564924,"ECA2087","NIC91"
185025,1568528,"ECA2087","NIC912"
183997,1572695,"ECA2087","NIC913"
182308,1568046,"ECA2087","NIC915"
196721,1569889,"ECA2087","NIC916"
193890,1570765,"ECA2087","NIC917"
199875,1567140,"ECA2087","NIC920"
180883,1565100,"ECA2087","NIC923"
191178,1562542,"ECA2087","NIC925"
179819,1564829,"ECA2087","NIC926"
192468,1571420,"ECA2087","NIC927"
189048,1572349,"ECA2087","NIC929"
183931,1565038,"ECA2087","NIC932"
191350,1573568,"ECA2087","NIC933"
192519,1571135,"ECA2087","NIC934"
181909,1571594,"ECA2087","NIC936"
186028,1570135,"ECA2087","NIC938"
192605,1567156,"ECA2087","NIC939"
170175,1570849,"ECA2087","NIC94"
176109,1574782,"ECA2087","NIC940"
195890,1568733,"ECA2087","NIC941"
195679,1567925,"ECA2087","NIC942"
182784,1571054,"ECA2087","NIC943"
196772,1562680,"ECA2087","NIC944"
182885,1570111,"ECA2087","NIC945"
182822,1570918,"ECA2087","NIC946"
183886,1572914,"ECA2087","NIC947"
185281,1570198,"ECA2087","NIC948"
182827,1571416,"ECA2087","NIC950"
189967,1567467,"ECA2087","NIC951"
171511,1574112,"ECA2087","NIC952"
190408,1570361,"ECA2087","NIC953"
189607,1575450,"ECA2087","NIC955"
184511,1567576,"ECA2087","NIC956"
176834,1568185,"ECA2087","NIC957"
195521,1567258,"ECA2087","NIC958"
182436,1569990,"ECA2087","NIC959"
182762,1570904,"ECA2087","NIC960"
182509,1563250,"ECA2087","NIC961"
191755,1554885,"ECA2087","NIC962"
181967,1568010,"ECA2087","NIC964"
181533,1569656,"ECA2087","NIC965"
193442,1553036,"ECA2087","NIC967"
195508,1567135,"ECA2087","NIC969"
179490,1566639,"ECA2087","NIC970"
193146,1567108,"ECA2087","NIC972"
193869,1569437,"ECA2087","NIC975"
193971,1569351,"ECA2087","NIC976"
193955,1569735,"ECA2087","NIC977"
186464,1571605,"ECA2087","NIC980"
195532,1569330,"ECA2087","NIC983"
181774,1565088,"ECA2087","NIC986"
180746,1573523,"ECA2087","NIC987"
180582,1573316,"ECA2087","NIC988"
202171,1569559,"ECA2087","NIC989"
178663,1581163,"ECA2087","NIC99"
177384,1569379,"ECA2087","NIC993"
189793,1569441,"ECA2087","NIC994"
186848,1563590,"ECA2087","NIC999"
184296,1556701,"ECA2087","QG1000"
175016,1557178,"ECA2087","QG1004"
119443,1535086,"ECA2087","QG131"
182845,1552234,"ECA2087","QG2697"
182367,1548632,"ECA2087","QG2699"
163811,1566674,"ECA2087","QG2716"
163501,1565083,"ECA2087","QG2720"
180339,1551757,"ECA2087","QG2724"
180298,1552215,"ECA2087","QG2725"
183125,1552826,"ECA2087","QG2726"
182629,1549744,"ECA2087","QG2727"
183062,1552165,"ECA2087","QG2733"
179511,1549008,"ECA2087","QG2747"
175906,1524332,"ECA2087","QG2748"
180737,1554022,"ECA2087","QG2749"
182458,1550210,"ECA2087","QG2755"
180902,1555814,"ECA2087","QG2770"
178594,1544901,"ECA2087","QG2771"
181096,1555783,"ECA2087","QG2772"
180455,1553856,"ECA2087","QG2773"
145423,1530993,"ECA2087","QG2896"
145543,1532333,"ECA2087","QG2897"
145613,1531135,"ECA2087","QG2898"
143051,1529495,"ECA2087","QG2899"
145634,1531849,"ECA2087","QG2904"
144968,1529527,"ECA2087","QG2905"
180490,1552137,"ECA2087","QG3008"
178614,1555800,"ECA2087","QG3009"
193961,1551112,"ECA2087","QG3010"
192922,1541516,"ECA2087","QG3011"
190415,1554477,"ECA2087","QG3013"
187279,1543521,"ECA2087","QG3024"
193211,1547710,"ECA2087","QG3036"
193532,1549881,"ECA2087","QG3037"
193694,1546681,"ECA2087","QG3038"
183185,1553034,"ECA2087","QG3055"
180920,1550567,"ECA2087","QG3064"
177345,1560065,"ECA2087","QG3514"
184902,1530202,"ECA2087","QG3520"
168386,1560615,"ECA2087","QG3521"
174582,1561468,"ECA2087","QG3522"
180327,1557679,"ECA2087","QG3523"
188262,1553257,"ECA2087","QG3526"
178261,1540246,"ECA2087","QG3529"
174642,1547222,"ECA2087","QG3533"
167517,1557916,"ECA2087","QG3535"
177391,1540600,"ECA2087","QG3539"
165407,1554046,"ECA2087","QG3543"
183517,1537189,"ECA2087","QG3545"
188540,1540785,"ECA2087","QG3546"
177551,1560294,"ECA2087","QG3547"
186856,1543319,"ECA2087","QG3548"
188150,1552880,"ECA2087","QG3549"
177388,1544536,"ECA2087","QG3782"
170907,1554152,"ECA2087","QG3785"
176390,1555757,"ECA2087","QG3786"
168613,1551811,"ECA2087","QG3789"
182084,1555939,"ECA2087","QG3790"
163507,1547877,"ECA2087","QG3791"
168188,1539842,"ECA2087","QG3792"
183658,1556494,"ECA2087","QG3793"
185755,1550837,"ECA2087","QG3795"
187151,1549133,"ECA2087","QG3797"
177293,1555480,"ECA2087","QG3799"
181043,1551806,"ECA2087","QG3800"
180468,1544573,"ECA2087","QG3802"
177300,1545848,"ECA2087","QG3803"
188201,1552406,"ECA2087","QG3805"
187164,1560307,"ECA2087","QG3807"
179021,1550400,"ECA2087","QG3808"
179375,1550540,"ECA2087","QG3809"
168024,1533961,"ECA2087","QG3811"
193994,1556978,"ECA2087","QG3812"
187087,1543647,"ECA2087","QG3814"
183544,1542227,"ECA2087","QG3817"
169314,1548276,"ECA2087","QG3818"
173404,1567694,"ECA2087","QG3821"
182533,1556210,"ECA2087","QG3824"
177085,1551882,"ECA2087","QG3828"
174788,1562066,"ECA2087","QG3829"
178886,1554629,"ECA2087","QG3831"
185937,1537782,"ECA2087","QG3833"
176606,1536882,"ECA2087","QG3834"
184849,1529226,"ECA2087","QG3835"
186054,1539057,"ECA2087","QG3836"
185184,1544580,"ECA2087","QG3838"
167866,1561140,"ECA2087","QG3839"
169637,1525597,"ECA2087","QG3843"
175309,1542542,"ECA2087","QG3844"
176682,1551740,"ECA2087","QG3845"
165979,1537378,"ECA2087","QG3846"
178958,1554102,"ECA2087","QG3847"
167845,1550872,"ECA2087","QG3848"
178815,1539482,"ECA2087","QG3849"
180597,1547043,"ECA2087","QG3850"
172171,1550774,"ECA2087","QG3852"
181149,1553590,"ECA2087","QG3853"
183474,1551701,"ECA2087","QG3854"
163765,1548742,"ECA2087","QG3855"
165129,1559186,"ECA2087","QG3856"
163561,1545894,"ECA2087","QG3857"
179719,1528507,"ECA2087","QG3859"
185592,1549157,"ECA2087","QG3860"
188195,1539463,"ECA2087","QG3862"
178406,1536828,"ECA2087","QG3863"
169411,1527907,"ECA2087","QG3868"
181672,1554959,"ECA2087","QG3869"
183236,1565256,"ECA2087","QG3871"
192620,1546020,"ECA2087","QG3872"
194463,1561073,"ECA2087","QG3873"
178951,1556185,"ECA2087","QG3877"
195668,1533100,"ECA2087","QG3880"
207005,1537775,"ECA2087","QG4629"
202160,1530673,"ECA2087","QG4641"
199752,1531343,"ECA2087","QG4646"
167800,1539465,"ECA2087","QG4653"
179448,1546578,"ECA2087","QG4659"
210719,1537816,"ECA2087","QG4669"
174074,1530959,"ECA2087","QG4671"
209877,1535594,"ECA2087","QG4672"
210941,1538189,"ECA2087","QG4694"
203733,1537685,"ECA2087","QG4695"
211079,1538320,"ECA2087","QG4696"
172204,1529556,"ECA2087","QG4702"
175630,1534619,"ECA2087","QG4713"
206802,1537451,"ECA2087","QG4714"
203449,1535845,"ECA2087","QG4730"
169576,1542830,"ECA2087","QG4739"
207750,1537252,"ECA2087","QG4740"
173161,1533098,"ECA2087","QG4741"
188287,1536775,"ECA2087","QG4754"
167268,1535874,"ECA2087","QG4759"
188087,1534945,"ECA2087","QG4779"
169294,1542046,"ECA2087","QG4780"
199932,1537346,"ECA2087","QG4781"
201824,1538245,"ECA2087","QG4782"
174081,1535604,"ECA2087","QG4817"
172942,1531930,"ECA2087","QG4824"
170846,1533644,"ECA2087","QG4866"
121664,1447225,"ECA2087","QG4867"
201315,1537327,"ECA2087","QG4868"
201372,1538202,"ECA2087","QG4869"
206100,1530549,"ECA2087","QG4870"
206065,1532562,"ECA2087","QG4871"
207478,1536653,"ECA2087","QG4878"
178343,1542585,"ECA2087","QG4891"
206565,1533492,"ECA2087","QG4892"
206300,1535141,"ECA2087","QG4893"
202830,1534862,"ECA2087","QG4894"
178753,1543566,"ECA2087","QG4897"
203739,1536682,"ECA2087","QG4904"
202432,1531881,"ECA2087","QG4910"
167966,1538065,"ECA2087","QG5104"
202191,1532359,"ECA2087","QG5159"
203205,1535641,"ECA2087","QG5160"
196104,1535044,"ECA2087","QG5161"
186904,1278077,"ECA2087","QG5220"
190244,1313817,"ECA2087","QG5237"
206149,1534218,"ECA2087","QG5256"
206578,1536230,"ECA2087","QG5260"
204498,1538819,"ECA2087","QG5262"
182662,1302933,"ECA2087","QG5305"
189232,1225011,"ECA2087","QG5319"
164351,1216959,"ECA2087","QG5364"
188460,1537194,"ECA2087","QG5365"
189313,1540521,"ECA2087","QG5366"
164069,1483142,"ECA2087","QG5405"
147901,1456738,"ECA2087","QG5502"
179536,1257886,"ECA2087","QG5503"
121606,1446568,"ECA2087","QG5510"
189419,1540462,"ECA2087","QG5550"
163368,1482112,"ECA2087","QG5551"
168398,1263515,"ECA2087","QG5552"
149730,1463786,"ECA2087","QG5576"
197533,1537966,"ECA2087","QG5588"
175913,1534875,"ECA2087","QG5602"
189206,1537326,"ECA2087","QG5628"
190203,1543148,"ECA2087","QG5629"
176004,1535834,"ECA2087","QG5638"
203994,1533736,"ECA2087","QG5643"
185057,1545512,"ECA2087","QG5650"
205507,1542156,"ECA2087","QG5652"
174351,1535072,"ECA2087","QG5654"
168046,1538304,"ECA2087","QG5655"
185673,1562049,"ECA2087","QG800"
185546,1561398,"ECA2087","QG801"
165267,1549421,"ECA2087","QG820"
165459,1550235,"ECA2087","QG823"
181917,1554229,"ECA2087","QG834"
177629,1525081,"ECA2087","QG835"
181784,1553018,"ECA2087","QG836"
182041,1552927,"ECA2087","QG837"
181470,1550063,"ECA2087","QG838"
181422,1550383,"ECA2087","QG839"
172395,1564098,"ECA2087","QG840"
180775,1553662,"ECA2087","QG841"
179149,1543016,"ECA2087","QG842"
180371,1552109,"ECA2087","QG843"
181296,1548223,"ECA2087","QG844"
181521,1552227,"ECA2087","QG845"
187625,1536844,"ECA2087","QG846"
187242,1533386,"ECA2087","QG847"
188525,1550704,"ECA2087","QG848"
181432,1540611,"ECA2087","QG849"
183340,1555505,"ECA2087","QG850"
179713,1539210,"ECA2087","QG851"
195147,1552582,"ECA2087","QG852"
173804,1556954,"ECA2087","QG853"
173657,1550252,"ECA2087","QG921"
193654,1550936,"ECA2087","QG935"
171708,1550612,"ECA2087","QG942"
185507,1545689,"ECA2087","QG981"
188526,1551308,"ECA2087","QG987"
197423,1538799,"ECA2087","TWN2103"
155,1573869,"ECA2898","ECA2899"
167,1585271,"ECA2898","ECA2900"
131913,1548791,"ECA2898","ECA2909"
164,1578104,"ECA2898","ECA2910"
203,1580284,"ECA2898","ECA2920"
129994,1540476,"ECA2898","ECA2954"
130481,1542846,"ECA2898","ECA2955"
132689,1552846,"ECA2898","ECA2976"
136770,1549716,"ECA2898","ECA3053"
443175,1482846,"ECA2898","ECA788"
438824,1470174,"ECA2898","ECA789"
130745,1540666,"ECA2898","ECA790"
133692,1541833,"ECA2898","ECA791"
133985,1542897,"ECA2898","ECA792"
131733,1547115,"ECA2898","ECA793"
131610,1545521,"ECA2898","ECA794"
122233,1538461,"ECA2898","ECA795"
149283,1540970,"ECA2898","ECA796"
115210,1500564,"ECA2898","ECA797"
134178,1535258,"ECA2898","ECA798"
123573,1546940,"ECA2898","ECA799"
34538,1574248,"ECA2898","ECA800"
68286,1567546,"ECA2898","ECA801"
34249,1566547,"ECA2898","ECA802"
14536,1518302,"ECA2898","ECA803"
29085,1535556,"ECA2898","ECA804"
659,1575294,"ECA2898","ECA805"
288762,1516476,"ECA2898","ECA806"
204167,1558988,"ECA2898","EG5889"
205333,1561170,"ECA2898","EG6180"
172879,1549121,"ECA2898","HPT25"
290963,1521112,"ECA2898","HPT33"
185945,1553482,"ECA2898","HPT39"
183415,1557386,"ECA2898","HPT56"
295130,1509827,"ECA2898","JU1373"
292117,1499184,"ECA2898","JU1374"
185157,1584498,"ECA2898","JU1428"
184140,1580082,"ECA2898","JU1429"
184842,1583844,"ECA2898","JU1430"
302047,1524866,"ECA2898","JU1630"
304358,1526815,"ECA2898","JU1631"
297369,1508456,"ECA2898","JU1632"
299215,1512461,"ECA2898","JU1633"
299522,1515313,"ECA2898","JU1634"
204536,1580831,"ECA2898","JU1635"
299224,1513706,"ECA2898","JU1636"
301163,1519354,"ECA2898","JU1639"
300043,1516947,"ECA2898","JU1640"
299866,1517167,"ECA2898","JU1641"
295546,1512276,"ECA2898","JU1800"
303804,1526212,"ECA2898","JU1818"
181980,1590370,"ECA2898","JU1819"
169942,1577434,"ECA2898","JU1821"
171534,1583204,"ECA2898","JU1831"
175990,1576255,"ECA2898","JU1835"
170492,1574338,"ECA2898","JU1836"
176462,1588081,"ECA2898","JU1838"
176429,1587974,"ECA2898","JU1839"
175614,1593161,"ECA2898","JU1845"
179705,1591202,"ECA2898","JU1846"
182108,1589465,"ECA2898","JU1847"
174612,1578326,"ECA2898","JU1848"
186882,1581520,"ECA2898","JU1849"
171232,1577351,"ECA2898","JU1850"
168272,1581465,"ECA2898","JU1851"
186386,1589919,"ECA2898","JU1870"
168806,1580583,"ECA2898","JU1871"
168579,1579636,"ECA2898","JU1872"
171311,1572092,"ECA2898","JU1975"
187440,1579239,"ECA2898","JU1976"
177636,1586465,"ECA2898","JU2505"
188657,1563672,"ECA2898","JU2750"
187301,1560006,"ECA2898","JU2751"
193141,1567727,"ECA2898","JU2752"
305509,1525137,"ECA2898","JU3170"
187909,1586318,"ECA2898","NIC1000"
187357,1582207,"ECA2898","NIC1001"
180883,1587872,"ECA2898","NIC1004"
193761,1582890,"ECA2898","NIC1005"
185631,1587278,"ECA2898","NIC1012"
186377,1587014,"ECA2898","NIC1015"
186267,1586057,"ECA2898","NIC1016"
184971,1583728,"ECA2898","NIC1028"
172931,1587536,"ECA2898","NIC1029"
194032,1585052,"ECA2898","NIC1033"
173288,1590482,"ECA2898","NIC1038"
181819,1580097,"ECA2898","NIC105"
183206,1577587,"ECA2898","NIC1112"
186495,1578611,"ECA2898","NIC1114"
186856,1579278,"ECA2898","NIC1115"
186606,1579313,"ECA2898","NIC1116"
166070,1581666,"ECA2898","NIC1121"
165662,1578871,"ECA2898","NIC1122"
201386,1583339,"ECA2898","NIC1126"
199945,1575607,"ECA2898","NIC1129"
188454,1578337,"ECA2898","NIC1130"
165765,1555498,"ECA2898","NIC1132"
189205,1581562,"ECA2898","NIC1133"
178410,1574305,"ECA2898","NIC1136"
176890,1577171,"ECA2898","NIC1137"
204871,1566803,"ECA2898","NIC114"
189358,1577410,"ECA2898","NIC1140"
186305,1577799,"ECA2898","NIC1142"
189402,1583073,"ECA2898","NIC1144"
166126,1581773,"ECA2898","NIC1145"
189594,1583982,"ECA2898","NIC1146"
188949,1580960,"ECA2898","NIC1147"
187845,1575230,"ECA2898","NIC1148"
189664,1584614,"ECA2898","NIC1149"
188733,1579309,"ECA2898","NIC1150"
188574,1576108,"ECA2898","NIC1151"
182078,1579787,"ECA2898","NIC1152"
189591,1584157,"ECA2898","NIC1153"
175546,1582182,"ECA2898","NIC1155"
169159,1571403,"ECA2898","NIC1156"
166485,1572437,"ECA2898","NIC1157"
189449,1583772,"ECA2898","NIC1159"
189498,1583893,"ECA2898","NIC1160"
167811,1571146,"ECA2898","NIC1161"
191668,1581627,"ECA2898","NIC1162"
191585,1581744,"ECA2898","NIC1163"
165175,1577891,"ECA2898","NIC1164"
172655,1575234,"ECA2898","NIC1165"
189406,1583023,"ECA2898","NIC1166"
188856,1580246,"ECA2898","NIC1167"
189050,1582190,"ECA2898","NIC1168"
189433,1583904,"ECA2898","NIC1169"
173301,1581151,"ECA2898","NIC1170"
189610,1584154,"ECA2898","NIC1171"
189567,1584375,"ECA2898","NIC1172"
173397,1581644,"ECA2898","NIC1173"
189550,1584191,"ECA2898","NIC1174"
189448,1583794,"ECA2898","NIC1175"
189319,1583331,"ECA2898","NIC1176"
174919,1582035,"ECA2898","NIC1177"
189370,1583682,"ECA2898","NIC1178"
187985,1568265,"ECA2898","NIC1179"
189469,1584524,"ECA2898","NIC1180"
184430,1582974,"ECA2898","NIC1181"
171289,1585894,"ECA2898","NIC1187"
171301,1586004,"ECA2898","NIC1188"
201760,1584549,"ECA2898","NIC1192"
171048,1576538,"ECA2898","NIC1193"
198367,1571083,"ECA2898","NIC120"
199579,1567684,"ECA2898","NIC121"
133678,1553444,"ECA2898","NIC122"
201022,1576757,"ECA2898","NIC124"
198937,1576115,"ECA2898","NIC125"
185726,1584144,"ECA2898","NIC1252"
175971,1586116,"ECA2898","NIC1254"
187479,1587232,"ECA2898","NIC1257"
178301,1577016,"ECA2898","NIC1268"
178249,1586246,"ECA2898","NIC1270"
175703,1559914,"ECA2898","NIC1272"
186921,1575120,"ECA2898","NIC1275"
181465,1586387,"ECA2898","NIC1276"
181692,1590551,"ECA2898","NIC1277"
185864,1581404,"ECA2898","NIC1278"
179183,1549611,"ECA2898","NIC1282"
181207,1564954,"ECA2898","NIC1284"
202263,1555554,"ECA2898","NIC1285"
197735,1569311,"ECA2898","NIC129"
188921,1584456,"ECA2898","NIC1290"
204848,1573458,"ECA2898","NIC1293"
201731,1552746,"ECA2898","NIC1294"
170862,1567624,"ECA2898","NIC1299"
188000,1580538,"ECA2898","NIC1300"
205743,1577515,"ECA2898","NIC1301"
203630,1567904,"ECA2898","NIC1305"
181550,1580999,"ECA2898","NIC1307"
180149,1586129,"ECA2898","NIC1309"
180112,1583035,"ECA2898","NIC1313"
176502,1556504,"ECA2898","NIC1315"
179985,1582238,"ECA2898","NIC1316"
175258,1576770,"ECA2898","NIC1317"
174503,1582059,"ECA2898","NIC1321"
176318,1584774,"ECA2898","NIC1323"
190968,1590564,"ECA2898","NIC1328"
