strain,isotype,lat,long,geo,lineage
NIC987,NIC987,4.03726,-52.67243,South America,LAC
NIC988,NIC988,4.03726,-52.67243,South America,LAC
NIC989,NIC989,4.03713,-52.67196,South America,LAC
NIC99,NIC99,4.08747,-52.67394,South America,LAC
NIC993,NIC993,4.04255,-52.67816,South America,LAC
NIC994,NIC994,4.04243,-52.67869,South America,LAC
NIC999,NIC999,4.03938,-52.67617,South America,LAC
QG1000,QG1000,9.170850606,-79.84289876,Central America,LAC
QG1004,QG1004,9.164456,-79.844623,Central America,LAC
QG131,QG131,22.22955,-159.4764,Hawaii,HC
QG2716,QG2716,9.16835,-79.839279,Central America,LAC
QG2724,QG2724,9.1598,-79.8399,Central America,LAC
QG2726,QG2726,9.1598,-79.8399,Central America,LAC
QG2770,QG2770,9.1576,-79.83393333,Central America,LAC
QG2896,QG2896,-16.10295,145.44645,Australia,Au
QG2897,QG2897,-16.10295,145.44645,Australia,Au
QG2898,QG2898,-16.103617,145.4467,Australia,Au
QG2899,QG2899,-16.103617,145.4467,Australia,Au
QG2904,QG2904,-16.10365,145.447317,Australia,Au
QG2905,QG2905,-16.10365,145.447317,Australia,Au
QG3008,QG3008,9.16005,-79.841,Central America,LAC
QG3009,QG3009,9.16005,-79.841,Central America,LAC
QG3010,QG3010,9.159966667,-79.84096667,Central America,LAC
QG3011,QG3011,9.159966667,-79.84096667,Central America,LAC
QG3013,QG3013,9.159766667,-79.841,Central America,LAC
QG3024,QG3024,9.1584,-79.84555,Central America,LAC
QG3037,QG3037,9.164533333,-79.84156667,Central America,LAC
QG3038,QG3038,9.164533333,-79.84156667,Central America,LAC
QG3055,QG3055,9.16484,-79.83659,Central America,LAC
QG3064,QG3064,9.16092,-79.84046,Central America,LAC
QG3514,QG3514,10.43089,-84.00684,Central America,LAC
QG3521,QG3521,10.42643333,-84.01193333,Central America,LAC
QG3522,QG3522,10.42974,-84.00938,Central America,LAC
QG3523,QG3523,10.43288,-84.00678,Central America,LAC
QG3526,QG3526,10.42643333,-84.01193333,Central America,LAC
QG3529,QG3529,10.43288,-84.00678,Central America,LAC
QG3533,QG3533,10.42641667,-84.01201667,Central America,LAC
QG3535,QG3535,10.43792,-84.01132,Central America,LAC
QG3539,QG3539,10.42332222,-84.00135556,Central America,LAC
QG3543,QG3543,10.42641667,-84.01201667,Central America,LAC
QG3545,QG3545,10.42361667,-84.00118611,Central America,LAC
QG3546,QG3546,10.43288,-84.00678,Central America,LAC
QG3547,QG3547,10.42551667,-84.01403333,Central America,LAC
QG3785,QG3785,10.43082,-84.01138,Central America,LAC
QG3786,QG3786,10.42963,-84.00833,Central America,LAC
QG3789,QG3789,10.42608333,-84.0092,Central America,LAC
QG3790,QG3790,10.42551667,-84.01403333,Central America,LAC
QG3793,QG3793,10.42583333,-84.00995,Central America,LAC
QG3795,QG3795,10.42608333,-84.0092,Central America,LAC
QG3797,QG3797,10.42974,-84.00938,Central America,LAC
QG3799,QG3799,10.43008,-84.00894,Central America,LAC
QG3800,QG3800,10.42974,-84.00938,Central America,LAC
QG3805,QG3805,10.42608333,-84.0092,Central America,LAC
QG3807,QG3807,10.43182,-84.01499,Central America,LAC
QG3808,QG3808,10.43288,-84.00678,Central America,LAC
QG3809,QG3809,10.43288,-84.00678,Central America,LAC
QG3811,QG3811,10.43288,-84.00678,Central America,LAC
QG3812,QG3812,10.42963,-84.00833,Central America,LAC
QG3817,QG3817,10.42972,-84.00742,Central America,LAC
QG3818,QG3818,10.4262,-84.0013167,Central America,LAC
QG3821,QG3821,10.42540556,-84.00121667,Central America,LAC
QG3824,QG3824,10.44022,-84.01188,Central America,LAC
QG3828,QG3828,10.42346389,-84.00128333,Central America,LAC
QG3829,QG3829,10.42346389,-84.00128333,Central America,LAC
QG3831,QG3831,10.43182,-84.01499,Central America,LAC
QG3834,QG3834,10.42972,-84.00718,Central America,LAC
QG3839,QG3839,10.43792,-84.01132,Central America,LAC
QG3843,QG3843,10.42963,-84.00833,Central America,LAC
QG3845,QG3845,10.43082,-84.01138,Central America,LAC
QG3847,QG3847,10.41828889,-84.00399167,Central America,LAC
QG3848,QG3848,10.43082,-84.01138,Central America,LAC
QG3849,QG3849,10.42551667,-84.01403333,Central America,LAC
QG3850,QG3850,10.42972,-84.00718,Central America,LAC
QG3852,QG3852,10.41900556,-84.00699722,Central America,LAC
QG3856,QG3856,10.42540556,-84.00121667,Central America,LAC
QG3862,QG3862,10.42608333,-84.0092,Central America,LAC
QG3863,QG3863,10.42974,-84.00938,Central America,LAC
QG3868,QG3868,10.43888,-84.01353,Central America,LAC
QG3871,QG3871,10.44027,-84.01227,Central America,LAC
QG3872,QG3872,10.44027,-84.01227,Central America,LAC
QG3873,QG3873,10.44027,-84.01227,Central America,LAC
QG3877,QG3877,10.43008,-84.00894,Central America,LAC
QG3880,QG3880,10.43089,-84.00684,Central America,LAC
QG4629,QG4629,6.8679,158.1784,Micronesia,Mic2
QG4646,QG4646,6.8567,158.2236,Micronesia,Mic1
QG4653,QG4653,6.9639,158.1907,Micronesia,Mic1
QG4659,QG4659,6.8567,158.2225,Micronesia,Mic1
QG4669,QG4669,6.9684,158.1899,Micronesia,Mic2
QG4671,QG4671,6.9639,158.1908,Micronesia,Mic1
QG4672,QG4672,6.9643,158.1915,Micronesia,Mic2
QG4694,QG4694,6.9661,158.1916,Micronesia,Mic2
QG4695,QG4695,6.8648,158.1774,Micronesia,Mic2
QG4696,QG4696,6.9668,158.1916,Micronesia,Mic2
QG4702,QG4702,6.8569,158.2207,Micronesia,Mic1
QG4713,QG4713,6.9674,158.1904,Micronesia,Mic1
QG4714,QG4714,6.8577,158.2157,Micronesia,Mic2
QG4730,QG4730,6.9196,158.2631,Micronesia,Mic2
QG4739,QG4739,6.9066,158.1818,Micronesia,Mic1
QG4740,QG4740,6.9204,158.2633,Micronesia,Mic2
QG4741,QG4741,6.8538,158.2157,Micronesia,Mic1
QG4754,QG4754,6.9169,158.2622,Micronesia,Mic2
QG4759,QG4759,6.9066,158.1818,Micronesia,Mic1
QG4779,QG4779,6.9171,158.2622,Micronesia,Mic2
QG4780,QG4780,6.9066,158.1818,Micronesia,Mic1
QG4781,QG4781,6.9174,158.2615,Micronesia,Mic2
QG4782,QG4782,6.8567,158.2236,Micronesia,Mic1
QG4817,QG4817,6.8569,158.2207,Micronesia,Mic1
QG4824,QG4824,6.8569,158.2207,Micronesia,Mic1
QG4866,QG4866,6.8567,158.2225,Micronesia,Mic1
QG4867,QG4867,6.8567,158.2225,Micronesia,Mic1
QG4869,QG4869,6.8567,158.2236,Micronesia,Mic1
QG4870,QG4870,6.9204,158.2633,Micronesia,Mic2
QG4871,QG4871,6.9204,158.2633,Micronesia,Mic2
QG4878,QG4878,6.8632,158.1746,Micronesia,Mic2
QG4891,QG4891,6.8567,158.2225,Micronesia,Mic1
QG4892,QG4892,6.9204,158.2633,Micronesia,Mic2
QG4893,QG4893,6.8577,158.2157,Micronesia,Mic2
QG4894,QG4894,6.9196,158.2631,Micronesia,Mic2
QG4897,QG4897,6.8567,158.2225,Micronesia,Mic1
QG4904,QG4904,6.9196,158.2631,Micronesia,Mic2
QG5104,QG5104,6.9066,158.1818,Micronesia,Mic1
QG5159,QG5159,6.918,158.2617,Micronesia,Mic2
QG5160,QG5160,6.918,158.2617,Micronesia,Mic2
QG5161,QG5161,6.9066,158.1818,Micronesia,Mic2
QG5220,QG5220,6.8632,158.1746,Micronesia,Mic2
QG5237,QG5237,6.8632,158.1746,Micronesia,Mic2
QG5256,QG5256,6.8632,158.1746,Micronesia,Mic2
QG5260,QG5260,6.8632,158.1746,Micronesia,Mic2
QG5262,QG5262,6.8648,158.1774,Micronesia,Mic2
QG5305,QG5305,6.9194,158.271,Micronesia,Mic1
QG5319,QG5319,6.8569,158.2198,Micronesia,Mic2
QG5364,QG5364,6.9169,158.2622,Micronesia,Mic2
QG5365,QG5365,6.9169,158.2622,Micronesia,Mic2
QG5366,QG5366,6.9169,158.2622,Micronesia,Mic2
QG5405,QG5405,6.9066,158.1818,Micronesia,Mic2
QG5502,QG5502,6.9174,158.2615,Micronesia,Mic2
QG5503,QG5503,6.9174,158.2615,Micronesia,Mic2
QG5510,QG5510,6.9639,158.1907,Micronesia,Mic1
QG5550,QG5550,6.9171,158.2622,Micronesia,Mic2
QG5551,QG5551,6.9171,158.2622,Micronesia,Mic2
QG5552,QG5552,6.9171,158.2622,Micronesia,Mic2
QG5576,QG5576,6.9181,158.2619,Micronesia,Mic2
QG5588,QG5588,6.9066,158.1818,Micronesia,Mic2
QG5602,QG5602,6.9639,158.1908,Micronesia,Mic1
QG5628,QG5628,6.9171,158.2622,Micronesia,Mic2
QG5629,QG5629,6.9169,158.2622,Micronesia,Mic2
QG5638,QG5638,6.9639,158.1908,Micronesia,Mic1
QG5643,QG5643,6.9179,158.2617,Micronesia,Mic2
QG5650,QG5650,6.9181,158.2619,Micronesia,Mic2
QG5652,QG5652,6.918,158.2617,Micronesia,Mic2
QG5654,QG5654,6.8569,158.2207,Micronesia,Mic1
QG5655,QG5655,6.9639,158.1907,Micronesia,Mic1
QG800,QG800,9.158057,-79.834221,Central America,LAC
QG823,QG823,9.152413,-79.850852,Central America,LAC
QG834,QG834,9.15385,-79.83077,Central America,LAC
QG836,QG836,9.15447,-79.82758,Central America,LAC
QG840,QG840,9.161421,-79.837195,Central America,LAC
QG841,QG841,9.161421,-79.837195,Central America,LAC
QG845,QG845,9.15443,-79.82735,Central America,LAC
QG846,QG846,9.15443,-79.82735,Central America,LAC
QG848,QG848,9.15445,-79.82763,Central America,LAC
QG850,QG850,9.159436,-79.844493,Central America,LAC
QG852,QG852,9.15443,-79.82735,Central America,LAC
QG853,QG853,9.159372,-79.835975,Central America,LAC
QG921,QG921,9.164456,-79.844623,Central America,LAC
QG935,QG935,9.159499,-79.838839,Central America,LAC
QG942,QG942,9.144538,-79.854772,Central America,LAC
QG981,QG981,9.14576403,-79.8544232,Central America,LAC
QG987,QG987,9.147419,-79.85312,Central America,LAC
TWN2103,TWN2103,25.16666667,121.5166667,Taiwan,Tw2
