strain	bam	bai	coverage	percent_mapped
QG3008	QG3008.bam	QG3008.bam.bai	0	0
QG3009	QG3009.bam	QG3009.bam.bai	0	0
QG3010	QG3010.bam	QG3010.bam.bai	0	0
QG3011	QG3011.bam	QG3011.bam.bai	0	0
QG3013	QG3013.bam	QG3013.bam.bai	0	0
QG3024	QG3024.bam	QG3024.bam.bai	0	0
QG3037	QG3037.bam	QG3037.bam.bai	0	0
QG3038	QG3038.bam	QG3038.bam.bai	0	0
QG3055	QG3055.bam	QG3055.bam.bai	0	0
QG3064	QG3064.bam	QG3064.bam.bai	0	0
QG3514	QG3514.bam	QG3514.bam.bai	0	0
QG3521	QG3521.bam	QG3521.bam.bai	0	0
QG3522	QG3522.bam	QG3522.bam.bai	0	0
QG3523	QG3523.bam	QG3523.bam.bai	0	0
QG3526	QG3526.bam	QG3526.bam.bai	0	0
QG3529	QG3529.bam	QG3529.bam.bai	0	0
QG3533	QG3533.bam	QG3533.bam.bai	0	0
QG3535	QG3535.bam	QG3535.bam.bai	0	0
QG3539	QG3539.bam	QG3539.bam.bai	0	0
QG3543	QG3543.bam	QG3543.bam.bai	0	0
QG3545	QG3545.bam	QG3545.bam.bai	0	0
QG3546	QG3546.bam	QG3546.bam.bai	0	0
QG3547	QG3547.bam	QG3547.bam.bai	0	0
QG3785	QG3785.bam	QG3785.bam.bai	0	0
QG3786	QG3786.bam	QG3786.bam.bai	0	0
QG3789	QG3789.bam	QG3789.bam.bai	0	0
QG3790	QG3790.bam	QG3790.bam.bai	0	0
QG3793	QG3793.bam	QG3793.bam.bai	0	0
QG3795	QG3795.bam	QG3795.bam.bai	0	0
QG3797	QG3797.bam	QG3797.bam.bai	0	0
QG3799	QG3799.bam	QG3799.bam.bai	0	0
QG3800	QG3800.bam	QG3800.bam.bai	0	0
QG3805	QG3805.bam	QG3805.bam.bai	0	0
QG3807	QG3807.bam	QG3807.bam.bai	0	0
QG3808	QG3808.bam	QG3808.bam.bai	0	0
QG3809	QG3809.bam	QG3809.bam.bai	0	0
QG3811	QG3811.bam	QG3811.bam.bai	0	0
QG3812	QG3812.bam	QG3812.bam.bai	0	0
QG3817	QG3817.bam	QG3817.bam.bai	0	0
QG3818	QG3818.bam	QG3818.bam.bai	0	0
QG3821	QG3821.bam	QG3821.bam.bai	0	0
QG3824	QG3824.bam	QG3824.bam.bai	0	0
QG3828	QG3828.bam	QG3828.bam.bai	0	0
QG3829	QG3829.bam	QG3829.bam.bai	0	0
QG3831	QG3831.bam	QG3831.bam.bai	0	0
QG3834	QG3834.bam	QG3834.bam.bai	0	0
QG3839	QG3839.bam	QG3839.bam.bai	0	0
QG3843	QG3843.bam	QG3843.bam.bai	0	0
QG3845	QG3845.bam	QG3845.bam.bai	0	0
QG3847	QG3847.bam	QG3847.bam.bai	0	0
QG3848	QG3848.bam	QG3848.bam.bai	0	0
QG3849	QG3849.bam	QG3849.bam.bai	0	0
QG3850	QG3850.bam	QG3850.bam.bai	0	0
QG3852	QG3852.bam	QG3852.bam.bai	0	0
QG3856	QG3856.bam	QG3856.bam.bai	0	0
QG3862	QG3862.bam	QG3862.bam.bai	0	0
QG3863	QG3863.bam	QG3863.bam.bai	0	0
QG3868	QG3868.bam	QG3868.bam.bai	0	0
QG3871	QG3871.bam	QG3871.bam.bai	0	0
QG3872	QG3872.bam	QG3872.bam.bai	0	0
QG3873	QG3873.bam	QG3873.bam.bai	0	0
QG3877	QG3877.bam	QG3877.bam.bai	0	0
QG3880	QG3880.bam	QG3880.bam.bai	0	0
QG4629	QG4629.bam	QG4629.bam.bai	0	0
QG4646	QG4646.bam	QG4646.bam.bai	0	0
QG4653	QG4653.bam	QG4653.bam.bai	0	0
QG4659	QG4659.bam	QG4659.bam.bai	0	0
QG4669	QG4669.bam	QG4669.bam.bai	0	0
QG4671	QG4671.bam	QG4671.bam.bai	0	0
QG4672	QG4672.bam	QG4672.bam.bai	0	0
QG4694	QG4694.bam	QG4694.bam.bai	0	0
QG4695	QG4695.bam	QG4695.bam.bai	0	0
QG4696	QG4696.bam	QG4696.bam.bai	0	0
QG4702	QG4702.bam	QG4702.bam.bai	0	0
QG4713	QG4713.bam	QG4713.bam.bai	0	0
QG4714	QG4714.bam	QG4714.bam.bai	0	0
QG4730	QG4730.bam	QG4730.bam.bai	0	0
QG4739	QG4739.bam	QG4739.bam.bai	0	0
QG4740	QG4740.bam	QG4740.bam.bai	0	0
QG4741	QG4741.bam	QG4741.bam.bai	0	0
QG4754	QG4754.bam	QG4754.bam.bai	0	0
QG4759	QG4759.bam	QG4759.bam.bai	0	0
QG4779	QG4779.bam	QG4779.bam.bai	0	0
QG4780	QG4780.bam	QG4780.bam.bai	0	0
QG4781	QG4781.bam	QG4781.bam.bai	0	0
QG4782	QG4782.bam	QG4782.bam.bai	0	0
QG4817	QG4817.bam	QG4817.bam.bai	0	0
QG4824	QG4824.bam	QG4824.bam.bai	0	0
QG4866	QG4866.bam	QG4866.bam.bai	0	0
QG4867	QG4867.bam	QG4867.bam.bai	0	0
QG4869	QG4869.bam	QG4869.bam.bai	0	0
QG4870	QG4870.bam	QG4870.bam.bai	0	0
QG4871	QG4871.bam	QG4871.bam.bai	0	0
QG4878	QG4878.bam	QG4878.bam.bai	0	0
QG4891	QG4891.bam	QG4891.bam.bai	0	0
QG4892	QG4892.bam	QG4892.bam.bai	0	0
QG4893	QG4893.bam	QG4893.bam.bai	0	0
QG4894	QG4894.bam	QG4894.bam.bai	0	0
QG4897	QG4897.bam	QG4897.bam.bai	0	0
QG4904	QG4904.bam	QG4904.bam.bai	0	0
QG5104	QG5104.bam	QG5104.bam.bai	0	0
QG5159	QG5159.bam	QG5159.bam.bai	0	0
QG5160	QG5160.bam	QG5160.bam.bai	0	0
QG5161	QG5161.bam	QG5161.bam.bai	0	0
QG5220	QG5220.bam	QG5220.bam.bai	0	0
QG5237	QG5237.bam	QG5237.bam.bai	0	0
QG5256	QG5256.bam	QG5256.bam.bai	0	0
QG5260	QG5260.bam	QG5260.bam.bai	0	0
QG5262	QG5262.bam	QG5262.bam.bai	0	0
QG5305	QG5305.bam	QG5305.bam.bai	0	0
QG5319	QG5319.bam	QG5319.bam.bai	0	0
QG5364	QG5364.bam	QG5364.bam.bai	0	0
QG5365	QG5365.bam	QG5365.bam.bai	0	0
QG5366	QG5366.bam	QG5366.bam.bai	0	0
QG5405	QG5405.bam	QG5405.bam.bai	0	0
QG5502	QG5502.bam	QG5502.bam.bai	0	0
QG5503	QG5503.bam	QG5503.bam.bai	0	0
QG5510	QG5510.bam	QG5510.bam.bai	0	0
QG5550	QG5550.bam	QG5550.bam.bai	0	0
QG5551	QG5551.bam	QG5551.bam.bai	0	0
QG5552	QG5552.bam	QG5552.bam.bai	0	0
QG5576	QG5576.bam	QG5576.bam.bai	0	0
QG5588	QG5588.bam	QG5588.bam.bai	0	0
QG5602	QG5602.bam	QG5602.bam.bai	0	0
QG5628	QG5628.bam	QG5628.bam.bai	0	0
QG5629	QG5629.bam	QG5629.bam.bai	0	0
QG5638	QG5638.bam	QG5638.bam.bai	0	0
QG5643	QG5643.bam	QG5643.bam.bai	0	0
QG5650	QG5650.bam	QG5650.bam.bai	0	0
QG5652	QG5652.bam	QG5652.bam.bai	0	0
QG5654	QG5654.bam	QG5654.bam.bai	0	0
QG5655	QG5655.bam	QG5655.bam.bai	0	0
QG800	QG800.bam	QG800.bam.bai	0	0
QG823	QG823.bam	QG823.bam.bai	0	0
QG834	QG834.bam	QG834.bam.bai	0	0
QG836	QG836.bam	QG836.bam.bai	0	0
QG840	QG840.bam	QG840.bam.bai	0	0
QG841	QG841.bam	QG841.bam.bai	0	0
QG845	QG845.bam	QG845.bam.bai	0	0
QG846	QG846.bam	QG846.bam.bai	0	0
QG848	QG848.bam	QG848.bam.bai	0	0
QG850	QG850.bam	QG850.bam.bai	0	0
QG852	QG852.bam	QG852.bam.bai	0	0
QG853	QG853.bam	QG853.bam.bai	0	0
QG921	QG921.bam	QG921.bam.bai	0	0
QG935	QG935.bam	QG935.bam.bai	0	0
QG942	QG942.bam	QG942.bam.bai	0	0
QG981	QG981.bam	QG981.bam.bai	0	0
QG987	QG987.bam	QG987.bam.bai	0	0
TWN2103	TWN2103.bam	TWN2103.bam.bai	0	0
