"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo","Lineage"
"127","NIC953","A",1e-05,0.701018,"NIC953",4.03828,-52.6715,"South America","LAC"
"128","NIC1386","A",0.258299,0.701111,"NIC1386",3.602447016,-53.19164,"South America","LAC"
"129","JU1847","A",1e-05,0.701374,"JU1847",4.090833,-52.67465,"South America","LAC"
"130","NIC122","A",1e-05,0.702517,"NIC122",16.1779,-61.6563,"Caribbean","HC"
"131","NIC1962","A",0.054418,0.704765,"NIC1962",14.744117,-61.093023,"Caribbean","LAC"
"132","BRC20391","A",1e-05,0.708751,"BRC20391",25.016672,121.557423,"Taiwan","Tw5"
"133","NIC939","A",1e-05,0.710518,"NIC939",4.03128,-52.68028,"South America","LAC"
"134","QG3009","A",1e-05,0.711585,"QG3009",9.16005,-79.841,"Central America","LAC"
"135","NIC192","A",1e-05,0.712852,"NIC192",16.0459,-61.6262,"Caribbean","HC"
"136","QG3828","A",1e-05,0.714321,"QG3828",10.42346389,-84.00128333,"Central America","LAC"
"137","NIC933","A",1e-05,0.717183,"NIC933",4.04237,-52.68256,"South America","LAC"
"138","NIC280","A",1e-05,0.717755,"NIC280",4.08711,-52.67839,"South America","LAC"
"139","QG4866","A",1e-05,0.717789,"QG4866",6.8567,158.2225,"Micronesia","Mic1"
"140","QG3529","A",1e-05,0.718245,"QG3529",10.43288,-84.00678,"Central America","LAC"
"141","NIC940","A",1e-05,0.719645,"NIC940",4.03091,-52.68124,"South America","LAC"
"142","QG3818","A",1e-05,0.720832,"QG3818",10.4262,-84.0013167,"Central America","LAC"
"143","NIC1856","A",1e-05,0.723117,"NIC1856",14.674356,-61.095002,"Caribbean","LAC"
"144","QG3533","A",1e-05,0.724696,"QG3533",10.42641667,-84.01201667,"Central America","LAC"
"145","NIC1028","A",1e-05,0.72517,"NIC1028",4.03896,-52.66843,"South America","LAC"
"146","NIC1430","A",1e-05,0.725334,"NIC1430",4.049461037,-52.67627399,"South America","LAC"
"147","NIC1855","A",0.047871,0.731208,"NIC1855",14.675129,-61.095721,"Caribbean","HC"
"148","NIC389","A",1e-05,0.731702,"NIC389",5.29111,-53.05539,"South America","LAC"
"149","NIC105","A",1e-05,0.733177,"NIC105",4.08747,-52.67394,"South America","LAC"
"150","NIC1929","A",0.733222,0.733222,"NIC1929",14.670499,-61.09485,"Caribbean","LAC"
"151","NIC1181","A",1e-05,0.734002,"NIC1181",-12.88332003,-69.48725897,"South America","LAC"
