group	strain	isotype	isotype_ref_strain
495	QG3803	QG3831	QG3831
495	QG3831	QG3831	QG3831
496	QG3785	QG3785	QG3785
497	QG3786	QG3786	QG3786
498	QG3789	QG3789	QG3789
499	QG3790	QG3790	QG3790
500	QG3791	QG3856	QG3856
500	QG3855	QG3856	QG3856
500	QG3856	QG3856	QG3856
500	QG3857	QG3856	QG3856
501	QG3792	QG3818	QG3818
501	QG3818	QG3818	QG3818
502	QG3793	QG3793	QG3793
502	QG3854	QG3793	QG3793
502	QG3859	QG3793	QG3793
503	QG3795	QG3795	QG3795
503	QG3838	QG3795	QG3795
503	QG3860	QG3795	QG3795
504	QG3797	QG3797	QG3797
505	QG3799	QG3799	QG3799
506	QG3800	QG3800	QG3800
506	QG3853	QG3800	QG3800
507	QG3802	QG3871	QG3871
507	QG3869	QG3871	QG3871
507	QG3871	QG3871	QG3871
508	QG3805	QG3805	QG3805
508	QG3814	QG3805	QG3805
508	QG3833	QG3805	QG3805
509	QG3807	QG3807	QG3807
510	QG3808	QG3808	QG3808
511	QG3809	QG3809	QG3809
512	QG3811	QG3811	QG3811
513	QG3812	QG3812	QG3812
514	QG3817	QG3817	QG3817
515	QG3821	QG3821	QG3821
516	QG3824	QG3824	QG3824
517	QG3828	QG3828	QG3828
518	QG3829	QG3829	QG3829
519	QG3834	QG3834	QG3834
520	QG3839	QG3839	QG3839
521	QG3843	QG3843	QG3843
522	QG3844	QG3845	QG3845
522	QG3845	QG3845	QG3845
523	QG3846	QG3848	QG3848
523	QG3848	QG3848	QG3848
524	QG3847	QG3847	QG3847
525	QG3849	QG3849	QG3849
526	QG3850	QG3850	QG3850
527	QG3852	QG3852	QG3852
528	QG3862	QG3862	QG3862
529	QG3863	QG3863	QG3863
530	QG3868	QG3868	QG3868
531	QG3872	QG3872	QG3872
532	QG3873	QG3873	QG3873
533	QG3877	QG3877	QG3877
534	QG3880	QG3880	QG3880
535	QG4629	QG4629	QG4629
536	QG4641	QG4730	QG4730
536	QG4730	QG4730	QG4730
537	QG4646	QG4646	QG4646
538	QG4653	QG4653	QG4653
539	QG4659	QG4659	QG4659
540	QG4669	QG4669	QG4669
541	QG4671	QG4671	QG4671
542	QG4672	QG4672	QG4672
543	QG4694	QG4694	QG4694
544	QG4695	QG4695	QG4695
545	QG4696	QG4696	QG4696
546	QG4702	QG4702	QG4702
547	QG4713	QG4713	QG4713
548	QG4714	QG4714	QG4714
549	QG4739	QG4739	QG4739
550	QG4740	QG4740	QG4740
551	QG4741	QG4741	QG4741
552	QG4754	QG4754	QG4754
553	QG4759	QG4759	QG4759
554	QG4779	QG4779	QG4779
555	QG4780	QG4780	QG4780
556	QG4781	QG4781	QG4781
557	QG4782	QG4782	QG4782
558	QG4817	QG4817	QG4817
559	QG4824	QG4824	QG4824
560	QG4866	QG4866	QG4866
561	QG4867	QG4867	QG4867
562	QG4868	QG4869	QG4869
562	QG4869	QG4869	QG4869
563	QG4870	QG4870	QG4870
564	QG4871	QG4871	QG4871
565	QG4878	QG4878	QG4878
566	QG4891	QG4891	QG4891
567	QG4892	QG4892	QG4892
568	QG4893	QG4893	QG4893
569	QG4894	QG4894	QG4894
569	QG4910	QG4894	QG4894
570	QG4897	QG4897	QG4897
571	QG4904	QG4904	QG4904
572	QG5104	QG5104	QG5104
573	QG5159	QG5159	QG5159
574	QG5160	QG5160	QG5160
575	QG5161	QG5161	QG5161
576	QG5220	QG5220	QG5220
577	QG5237	QG5237	QG5237
578	QG5256	QG5256	QG5256
579	QG5260	QG5260	QG5260
580	QG5262	QG5262	QG5262
581	QG5305	QG5305	QG5305
582	QG5319	QG5319	QG5319
583	QG5364	QG5364	QG5364
584	QG5365	QG5365	QG5365
585	QG5366	QG5366	QG5366
586	QG5405	QG5405	QG5405
587	QG5502	QG5502	QG5502
588	QG5503	QG5503	QG5503
589	QG5510	QG5510	QG5510
590	QG5550	QG5550	QG5550
591	QG5551	QG5551	QG5551
592	QG5552	QG5552	QG5552
593	QG5576	QG5576	QG5576
594	QG5588	QG5588	QG5588
595	QG5602	QG5602	QG5602
596	QG5628	QG5628	QG5628
597	QG5629	QG5629	QG5629
598	QG5638	QG5638	QG5638
599	QG5643	QG5643	QG5643
600	QG5650	QG5650	QG5650
601	QG5652	QG5652	QG5652
602	QG5654	QG5654	QG5654
603	QG5655	QG5655	QG5655
604	QG800	QG800	QG800
604	QG801	QG800	QG800
605	QG820	QG823	QG823
605	QG823	QG823	QG823
606	QG834	QG834	QG834
607	QG835	QG836	QG836
607	QG836	QG836	QG836
607	QG837	QG836	QG836
607	QG838	QG836	QG836
607	QG839	QG836	QG836
608	QG840	QG840	QG840
609	QG841	QG841	QG841
609	QG842	QG841	QG841
609	QG843	QG841	QG841
610	QG844	QG845	QG845
610	QG845	QG845	QG845
610	QG851	QG845	QG845
611	QG846	QG846	QG846
611	QG847	QG846	QG846
612	QG848	QG848	QG848
613	QG849	QG850	QG850
613	QG850	QG850	QG850
614	QG852	QG852	QG852
615	QG853	QG853	QG853
616	QG921	QG921	QG921
617	QG935	QG935	QG935
618	QG942	QG942	QG942
619	QG981	QG981	QG981
620	QG987	QG987	QG987
621	TWN2103	TWN2103	TWN2103
